# Exact English source<TAB>Simplified Chinese translation.
# Keep application data, terminal content, model output, and user-authored text out of this catalog.
+ Add rule	+ 添加规则
We've built a native console that allows you to view all communications from Warp to external servers to ensure you feel comfortable that your work is always kept safe.	我们提供了原生日志控制台，用于查看 Warp 与外部服务器之间的全部通信，便于确认工作数据始终安全。
View network logging	查看网络日志
New worktree config	新建工作树配置
New tab config	新建标签页配置
New tab group	新建标签页组
Use	使用
to reference these keybindings in a side pane at anytime.	可随时在侧边窗格中查看这些快捷键。
# Full production UI coverage (2026-08-26)
\nReview the command below, then 	\n请检查下面的命令，然后
\nThe 	\n
\nThe YAML file is saved to 	\nYAML 文件已保存到
\nThe command below includes a one-time configuration of the Warp package repository and PGP signing key.	\n下面的命令包含 Warp 软件包仓库和 PGP 签名密钥的一次性配置。
 Encountered an incorrect input detection? 	 输入检测有误？
 Not the first time? See our 	 不止一次遇到？请查看我们的
 Update team visibility in the 	 请在以下位置更新团队可见性：
 for a more flexible pricing model.	，以获得更灵活的定价模式。
 for custom limits and dedicated support.	，以获得自定义限额和专属支持。
 for increased access to AI features.	，以获得更多 AI 功能使用权限。
 for more AI credits.	，以获得更多 AI 点数。
 for more AI usage.	，以获得更多 AI 用量。
 for more credits and access to more models.	，以获得更多点数并使用更多模型。
 for more powerful cloud agents.	，以使用更强大的云端智能体。
 for security features like SSO and automatically applied zero data retention.	，以使用 SSO 和自动应用零数据保留等安全功能。
 function ensures the Warp package repository is enabled, as we've detected you recently upgraded your distribution.	 函数可确保启用 Warp 软件包仓库，因为我们检测到你最近升级了发行版。
 may resolve this issue.	 可能会解决此问题。
 or 	 或
 or a compatible tool, the pre-filled command will update Warp for you.	 或兼容工具安装 Warp，预填命令将为你更新 Warp。
 routing chooses a model based on Warp's classification of the task's difficulty.	 路由会根据 Warp 对任务难度的分类选择模型。
 routing chooses a model based on custom prompts.	 路由会根据自定义提示选择模型。
 to 	 到
 to continue.	 以继续。
 to enable bringing your own API keys on your Enterprise plan.	，以在企业版方案中启用自带 API 密钥。
 to get more AI usage.	，以获得更多 AI 用量。
 to install the update and re-launch Warp.  	 以安装更新并重新启动 Warp。  
 to learn more.	 了解更多。
 to move the cursor?	 来移动光标吗？
 to purchase add-on credits.	 以购买附加点数。
 to regain access to AI features.	，以重新获得 AI 功能的使用权限。
 to update to the latest version.	 以更新到最新版本。
 to use your own API keys.	，以使用你自己的 API 密钥。
 will automatically purchase your selected package when you run out. 	 会在用尽时自动购买你选择的套餐。
). 	）。
). Enabling the SSH extension in 	）。在
, or 	，或
A cloud environment is required to hand off this conversation.	移交此对话需要云端环境。
A new version of the Warp plugin is available	Warp 插件有新版本可用
API keys	API 密钥
API keys added here are stored only on this device, not on Warp's servers.	此处添加的 API 密钥只存储在此设备上，不会存储在 Warp 的服务器上。
Add a workflow argument	添加工作流参数
Add custom endpoints to use third-party models. Custom endpoints must support OpenAI Chat Completions, OpenAI Responses, or Anthropic Messages.	添加自定义端点以使用第三方模型。自定义端点必须支持 OpenAI Chat Completions、OpenAI Responses 或 Anthropic Messages。
Add diff set as context	将差异集添加为上下文
Add file diff as context	将文件差异添加为上下文
Allow the Warp Agent to generate an outline of your codebase that can be used for context. No code is ever stored on our servers. 	允许 Warp 智能体生成可用作上下文的代码库大纲。任何代码都不会存储在我们的服务器上。
Already the default	已是默认项
Ask the Warp agent to assist	让 Warp 智能体协助
Ask the Warp agent to resume	让 Warp 智能体继续
Ask the agent to check this command now, skipping its timer.	让智能体立即检查此命令并跳过计时器。
Ask your team's admin to upgrade to the Build plan to use your own API keys.	请让团队管理员升级到 Build 方案，以使用你自己的 API 密钥。
Attach file	附加文件
Auth Token	身份验证令牌
Automatically detect and spawn MCP servers from globally-scoped third-party AI agent configuration files (e.g. in your home directory). Servers detected inside a repository are never spawned automatically and must be enabled individually in the "Detected from" sections below. 	自动从全局范围的第三方 AI 智能体配置文件（例如主目录中的配置文件）检测并启动 MCP 服务器。在仓库内检测到的服务器绝不会自动启动，必须在下方“检测来源”部分逐个启用。
Autonomy settings are configured as part of your team workspace.	自主性设置由你的团队工作区统一配置。
Bad response	较差的回答
Change git branch	更改 Git 分支
Change role	更改角色
Change working directory	更改工作目录
Check out the 	查看
Choose an environment	选择环境
Choose if you'd like to use Warp Agent or third party agents.	选择使用 Warp 智能体还是第三方智能体。
Clear upload	清除上传
Click or use arrow keys to select, Enter to confirm.	点击或使用方向键选择，按 Enter 确认。
Close panel	关闭面板
Cloud agent run	云端智能体运行
Cloud agent run cancelled	云端智能体运行已取消
Cloud run created.	已创建云端运行。
Codex is OpenAI's most advanced agentic coding model for real-world engineering.	Codex 是 OpenAI 面向真实工程场景的先进智能体编程模型。
Collapse	折叠
Commands, comma separated	命令，以逗号分隔
Configure statusline	配置状态栏
Contact your team admin to resolve billing issues.	请联系团队管理员解决账单问题。
Context window usage	上下文窗口用量
Continue conversation	继续对话
Continue this cloud conversation	继续此云端对话
Copy file path	复制文件路径
Copy login URL (c)	复制登录 URL (c)
Copy notebook contents into your personal workspace	将笔记本内容复制到个人工作区
Copy notebook contents to your clipboard	将笔记本内容复制到剪贴板
Copy transcript to clipboard	将文字记录复制到剪贴板
Create and manage API keys to allow cloud agents to access your Warp account.\nFor more information, visit the 	创建和管理 API 密钥，以允许云端智能体访问你的 Warp 帐户。\n有关更多信息，请访问
Create one in Oz, then refresh this card.	请先在 Oz 中创建一个，然后刷新此卡片。
Describe when to use this model…	说明何时使用此模型…
Did you intend 	你原本是想输入
Directory path	目录路径
Disabled by your administrator	已被管理员禁用
Discovering project context…	正在发现项目上下文…
Embed not found	未找到嵌入内容
Enable Warp shell integration in this session	在此会话中启用 Warp shell 集成
Enables codebase indexing and WARP.md	启用代码库索引和 WARP.md
Enabling natural language detection will detect when natural language is written in the terminal input, and then automatically switch to Agent Mode for AI queries.	启用自然语言检测后，当终端输入中出现自然语言时，将自动切换到智能体模式进行 AI 查询。
Encountered an incorrect detection? 	检测有误？
Enter auth token	输入身份验证令牌
Error rendering Mermaid diagram. Please check syntax.	渲染 Mermaid 图表时出错。请检查语法。
Executable path	可执行文件路径
Expand	展开
Expand all lines	展开所有行
Explore Warp's built-in AI features before committing to a plan, or bring your own inference.	在订阅方案前体验 Warp 的内置 AI 功能，或使用你自己的推理服务。
Failed to render Mermaid diagram	无法渲染 Mermaid 图表
File Uploads	文件上传
Finding files that match 	正在查找匹配以下内容的文件：
Follow up with existing conversation	继续现有对话
Fork conversation	派生对话
Fork this conversation locally	在本地派生此对话
Former member	前成员
Give Warp the option to automatically move active local agents to the cloud when your computer sleeps.	允许 Warp 在电脑休眠时自动将活跃的本地智能体移至云端。
Good response	较好的回答
Grep for 	Grep 搜索：
Grepping for 	正在 Grep 搜索：
Hand off to cloud (or type &)	移交到云端（或输入 &）
If you installed Warp using 	如果你使用
Ignore this suggestion	忽略此建议
Infinitely scalable coding agent — run in local sessions or in the cloud.	可无限扩展的编程智能体——可在本地会话或云端运行。
Initial query	初始查询
Insert block	插入块
Install the Warp plugin to enable rich agent notifications within Warp	安装 Warp 插件以在 Warp 中启用丰富的智能体通知
Introducing the Warp Agent CLI: A coding agent that does what others can't	Warp Agent CLI 隆重登场：能完成其他工具无法完成之事的编程智能体
Learn more on our 	在我们的以下页面了解更多：
Line number:Column	行号:列号
Link (web or file)	链接（网页或文件）
Live session unavailable	实时会话不可用
Loading…	正在加载…
Log in with Warp	使用 Warp 登录
MCP	MCP
Manage API keys	管理 API 密钥
Maximize	最大化
Navigate to a repo and initialize it for coding	前往仓库并初始化以开始编程
No limit	无限制
Offline, trying to reconnect...	已离线，正在尝试重新连接...
Open Rich Input	打开富文本输入
Open coding agent settings	打开编程智能体设置
Open file explorer	打开文件资源管理器
Open in GitHub	在 GitHub 中打开
Open this conversation in the Warp desktop app	在 Warp 桌面应用中打开此对话
Open this exact URL manually:	手动打开以下完整 URL：
OpenAI automatically applies long-context pricing when context exceeds 272,000 tokens. 	当上下文超过 272,000 个 token 时，OpenAI 会自动应用长上下文定价。
Paste sign-in code	粘贴登录代码
Paste your auth token below	在下方粘贴身份验证令牌
Paste your auth token from the browser to get complete login.	从浏览器粘贴身份验证令牌以完成登录。
Pay-as-you-go	按量付费
Please include 'https://'	请包含“https://”
Press Ctrl-C to exit.	按 Ctrl-C 退出。
Press enter or r to retry · Ctrl-C to exit	按 Enter 或 r 重试 · 按 Ctrl-C 退出
Privacy Settings	隐私设置
Purchasing these credits would take you over your monthly spend limit. 	购买这些点数会使你超出每月支出限额。
Pure is not yet supported in Warp. You might consider one of the supported prompts as an alternative.  	Warp 尚不支持 Pure。你可以考虑改用受支持的提示符。  
Raw	原始内容
Refresh notebook	刷新笔记本
Reloading would exceed your monthly limit. 	重新加载会超出你的每月限额。
Rendered	渲染结果
Rendering Mermaid diagram…	正在渲染 Mermaid 图表…
Request to log in failed.	登录请求失败。
Request to sign up failed.	注册请求失败。
Requesting a secure sign-in link...	正在请求安全登录链接...
Restore environment variables from trash	从废纸篓恢复环境变量
Restore notebook from trash	从废纸篓恢复笔记本
Restore workflow from trash	从废纸篓恢复工作流
Resume conversation	继续对话
Retry login (r)	重试登录 (r)
Retry opening browser (r)	重试打开浏览器 (r)
Rewind to before this block	回退到此块之前
Rules are custom prompts that describe when to use a specific model. Warp intelligently matches your tasks against these rules.	规则是用于说明何时使用特定模型的自定义提示。Warp 会智能地将任务与这些规则匹配。
Rules are matched top to bottom — rules higher in the list take precedence over those below.	规则按从上到下的顺序匹配——列表中靠前的规则优先于靠后的规则。
Rules help the Warp Agent follow your conventions, whether for codebases or specific workflows. 	规则可帮助 Warp 智能体遵循你的约定，无论是针对代码库还是特定工作流。
Save and auto-sync this plan to your Warp Drive	保存此计划并自动同步到 Warp Drive
Save with a recurring plan, or explore Warp's AI before committing.	通过周期性方案节省费用，或在订阅前体验 Warp 的 AI。
Saved successfully to 	已成功保存到
Search API keys	搜索 API 密钥
Search MCP Servers	搜索 MCP 服务器
Search diff sets or branches to compare…	搜索要比较的差异集或分支…
Search for files that match 	搜索匹配以下内容的文件：
Search in files	在文件中搜索
Search repos	搜索仓库
Search secrets or create a new one	搜索密钥或新建密钥
Search tabs...	搜索标签页...
Seems like your completions are not working (	你的补全功能似乎无法正常工作（
Seems like your shell is taking a while to start...  	你的 shell 启动时间似乎较长...  
Select defaults for using agents like Claude Code, Codex, and Gemini.	选择使用 Claude Code、Codex 和 Gemini 等智能体时的默认设置。
Select your Warp Agent's defaults.	选择 Warp 智能体的默认设置。
Sending message to 	正在发送消息给
Set by Team Workspace	由团队工作区设置
Share	共享
Shift + ↑ sub-agents	Shift + ↑ 子智能体
Show a toolbar with quick actions when running coding agents like 	运行以下编程智能体时显示含快捷操作的工具栏：
Show credit usage details	显示点数用量详情
Show version history	显示版本历史
Sign in	登录
Sign in on your browser to continue	在浏览器中登录以继续
Sign in to edit	登录后编辑
Slash commands	斜杠命令
Sort by	排序方式
Starting at $18 / mo, available with monthly or annual plans. Includes base credits, frontier models, cloud agents, collaboration, and more.	每月 $18 起，可按月或按年订阅。包含基础点数、前沿模型、云端智能体、协作等功能。
Starting terminal…	正在启动终端…
State of the art agent harness deeply integrated into the terminal.	深度集成到终端中的先进智能体框架。
Sync light/dark theme with OS	跟随操作系统同步浅色/深色主题
Tab configs	标签页配置
The redirect URL pasted did not originate from this app. Please click the button below to try again.	粘贴的重定向 URL 并非来自此应用。请点击下方按钮重试。
The selected hardware may not support rendering transparent windows.	所选硬件可能不支持渲染透明窗口。
The transcript will appear when this child finishes.	此子智能体完成后将显示文字记录。
These agents may start their own child agents	这些智能体可以启动自己的子智能体
These agents may start their own child agents.	这些智能体可以启动自己的子智能体。
This conversation cannot be deleted	无法删除此对话
This shared conversation shows the state when you opened it. If the agent is still running, refresh to see the latest progress.	此共享对话显示的是你打开时的状态。如果智能体仍在运行，请刷新以查看最新进度。
Toggle Case Sensitivity	切换大小写敏感
Toggle Regex	切换正则表达式
Transparency is not supported with your graphics drivers.	你的图形驱动程序不支持透明效果。
Type your answer and press Enter	输入答案并按 Enter
Untitled	未命名
Use Codex directly in Oz and leverage features like in-app code review, agent session sharing and file editing.	直接在 Oz 中使用 Codex，并利用应用内代码审查、智能体会话共享和文件编辑等功能。
Use Codex models in Warp	在 Warp 中使用 Codex 模型
Use Oz cloud agents to run parallel agents, build agents that run autonomously, and check in on your agents from anywhere. 	使用 Oz 云端智能体并行运行多个智能体、构建自主运行的智能体，并从任何地方查看智能体状态。
Use agents like Claude Code, Codex, and Gemini.	使用 Claude Code、Codex 和 Gemini 等智能体。
Use cloud agents to run parallel agents, build agents that run autonomously, and check in on your agents from anywhere. 	使用云端智能体并行运行多个智能体、构建自主运行的智能体，并从任何地方查看智能体状态。
Use your own API keys from model providers for Warp Agent. API keys are used to make requests to your chosen model provider. Using auto models or models you do not have available API keys for will consume Warp credits.	为 Warp 智能体使用你自己的模型提供商 API 密钥。API 密钥用于向你选择的模型提供商发出请求。使用自动模型或没有可用 API 密钥的模型将消耗 Warp 点数。
View agent tasks you created	查看你创建的智能体任务
View instructions to install the Warp plugin	查看 Warp 插件安装说明
View instructions to update the Warp plugin	查看 Warp 插件更新说明
View options	查看选项
View pull request	查看拉取请求
View run in Oz web	在 Oz 网页版中查看运行
View this run in the Oz web app	在 Oz Web 应用中查看此运行
View your agent tasks plus all shared team tasks	查看你的智能体任务和团队共享的所有任务
Voice input	语音输入
Voice input allows you to control Warp by speaking directly to your terminal (powered by 	语音输入让你可以直接对终端说话来控制 Warp（由
Warp API Key	Warp API 密钥
Warp Agent CLI	Warp Agent CLI
Warp doesn't currently support your default shell, falling back to zsh.  	Warp 当前不支持你的默认 shell，将回退到 zsh。  
Warp pipes through notifications from any CLI coding agent into a unified notification center that works across all coding agents and harnesses. 	Warp 会将任意 CLI 编程智能体的通知汇集到统一的通知中心，适用于所有编程智能体和框架。
We couldn’t open your browser.	无法打开你的浏览器。
What’s different about Warp	Warp 有何不同
When enabled, 	启用后，
You haven't added any MCP servers yet. Once you do, you'll be able to control how much autonomy the Warp Agent has when interacting with them. 	你尚未添加任何 MCP 服务器。添加后，你将能够控制 Warp 智能体与其交互时的自主程度。
You must select that you want to automatically create a worktree in order to select this	必须先选择自动创建 worktree 才能选择此项
You seem to be running an older (unsupported) version, please follow 	你似乎正在运行较旧（不受支持）的版本，请按照
Your active and past conversations with local and ambient agents will appear here.	你与本地和环境智能体的当前及历史对话将显示在这里。
Your administrator has enabled zero data retention for your team. User generated content will never be collected.	管理员已为你的团队启用零数据保留。用户生成的内容绝不会被收集。
Your new team name	新的团队名称
Your shell configuration is incompatible with Warp...  	你的 shell 配置与 Warp 不兼容...  
[Code block unavailable]	[代码块不可用]
[Empty table]	[空表格]
[Table has no rows]	[表格没有行]
[Unsupported embedded content]	[不支持的嵌入内容]
alias name	别名名称
default	默认
dev build	开发版
e.g. "Google API Key"	例如“Google API 密钥”
e.g. "YOLO code"	例如“YOLO 代码”
e.g. ls .*	例如 ls .*
e.g. rm .*	例如 rm .*
e.g. ~/code-repos/repo	例如 ~/code-repos/repo
e.g., GLM-5	例如 GLM-5
e.g., GLM-5-FP8	例如 GLM-5-FP8
e.g., Zach's external models	例如 Zach 的外部模型
e.g., sk-...	例如 sk-...
this conversation	此对话
… Transcribing	… 正在转写
◔ Usage	◔ 用量
 · loading…	 · 正在加载…
Could not restore conversation: {message}	无法恢复对话：{message}
 in {display_path}	，位置：{display_path}
 in {display_path} cancelled	（位置：{display_path}）已取消
 in {path}	，位置：{path}
 in {path} cancelled	（位置：{path}）已取消
({credits} credits)	（{credits} 点数）
+ {count} more	另有 {count} 个
A: {answer}	答：{answer}
Agents ({count})	智能体（{count}）
Agents ({count}):	智能体（{count}）：
Are you sure you want to transfer team ownership to {email}? You will no longer be the owner and will not be able to take any administrative actions for this team.	确定要将团队所有权转让给 {email} 吗？你将不再是所有者，也无法再对此团队执行任何管理操作。
Cancelled grep for the following patterns in {display_path}	已取消在 {display_path} 中 Grep 搜索以下模式
Cancelled search for files that match the following patterns in {path}	已取消在 {path} 中搜索匹配以下模式的文件
Comment addressed: "{content}"	已处理评论：“{content}”
Create a file named {file_name}…	创建名为 {file_name} 的文件…
Created by {creator} • {time}	由 {creator} 创建 • {time}
Credits used: {used} / {limit}.	已用点数：{used} / {limit}。
Debug information: {debug_info}	调试信息：{debug_info}
Default: {default_value}	默认值：{default_value}
Error: {error}	错误：{error}
Failed to authenticate with AWS Bedrock when using {model_name}. Run `{command}` to refresh credentials.	使用 {model_name} 时无法通过 AWS Bedrock 身份验证。请运行 `{command}` 刷新凭据。
Find files that match the following patterns in {path}	在 {path} 中搜索匹配以下模式的文件
Finding files that match the following patterns in {path}	正在 {path} 中查找匹配以下模式的文件
Grep for the following patterns in {display_path}	在 {display_path} 中 Grep 搜索以下模式
Grepping for the following patterns in {display_path}	正在 {display_path} 中 Grep 搜索以下模式
Install {name}	安装 {name}
Last instruction: {instruction}	上一条指令：{instruction}
Limit: {limit}	限额：{limit}
Login failed: {message}	登录失败：{message}
Name: {environment_name}	名称：{environment_name}
Open image at {url}	打开位于 {url} 的镜像
Q: {question}	问：{question}
Repo is initialized with a {file_name} file.	仓库已使用 {file_name} 文件初始化。
Running `{command}`...	正在运行 `{command}`...
Save {percent} on add-on credits by 	升级到 Build 方案可为附加点数节省 {percent}：
Update {name}	更新 {name}
Your agent is currently running on a {specs} machine. 	你的智能体当前正在 {specs} 规格的机器上运行。
Your organization has provided an API key for {provider_name}. A key entered here takes precedence for {provider_name} requests.	你的组织已提供 {provider_name} 的 API 密钥。此处输入的密钥在 {provider_name} 请求中优先使用。
{binding} to collapse plan	按 {binding} 折叠计划
{count} file	{count} 个文件
{count} files	{count} 个文件
{count} outdated	{count} 条已过时
{count} tools available	有 {count} 个工具可用
{discount}% off	优惠 {discount}%
{display_name} is not available for free users. 	免费用户无法使用 {display_name}。
{time} until refresh.	距离刷新还有 {time}。
▶▶ Auto approve {state}	▶▶ 自动批准：{state}
on	开
off	关
Complexity-based	基于复杂度
Rule-based	基于规则
press enter	按 Enter
auto-reload	自动重新加载
Powerlevel10k now supports Warp!  	Powerlevel10k 现在支持 Warp！  
Searched	已搜索
Searching	正在搜索
conversation	对话
agent run	智能体运行
{verb} 	{verb}
{target_kind} 	{target_kind}
Copied from	复制自
Derived from	来源
{prefix} 	{prefix}
 {copy}	{copy}
Run {package_manager_name} to update	运行 {package_manager_name} 进行更新
{severity}: 	{severity}：
Warning	警告
Info	信息
Hint	提示
Diagnostic	诊断
{description} 	{description}
Command finished	命令已完成
Agent needs your input	智能体需要你的输入
Agent is monitoring command	智能体正在监控命令
Agent waiting for instructions	智能体正在等待指令
User is in control	用户正在控制
Agent paused · user is in control	智能体已暂停 · 用户正在控制
Agent handed control to you	智能体已将控制权交给你
to take control	以接管控制
to hand back	以交还控制
{status} · {key_binding} {action}	{status} · {key_binding} {action}
 · Check in {seconds}s	 · {seconds} 秒后检查
 · Check in {minutes}m	 · {minutes} 分钟后检查
[{label}]	[{label}]
{status}{countdown}	{status}{countdown}
({label})	（{label}）
checking for updates…	正在检查更新…
updating…	正在更新…
up to date	已是最新版本
automatic update failed	自动更新失败
update installed, restart to apply	更新已安装，重启后应用
update available — run brew upgrade --cask warp-agent-cli	有更新可用——请运行 brew upgrade --cask warp-agent-cli
Allow · Ctrl+Enter	允许 · Ctrl+Enter
Reject · Ctrl+C	拒绝 · Ctrl+C
Visit the admin panel	访问管理面板
to manage and create new teams.	以管理和创建新团队。
Open the admin panel	打开管理面板
to manage workspace settings and spend limits.	以管理工作区设置和支出限额。
Upgrade to Build	升级到 Build
to see team-level credit usage.	以查看团队级点数用量。
Upgrade to Business	升级到 Business
to see per-user credit attribution.	以查看每位用户的点数归属。
Upgrade to Enterprise	升级到 Enterprise
to see fine-grained credit attribution and set per-user spend limits.	以查看精细的点数归属并设置每位用户的支出限额。
to set per-user spend limits.	以设置每位用户的支出限额。
ID: {id}	ID：{id}
Working directory: {cwd}	工作目录：{cwd}
Updated at: {updated_at}	更新时间：{updated_at}
{title} · Tab {index}	{title} · 标签页 {index}
[image]	[图片]
[file]	[文件]
{kind} 	{kind}
({seconds}s)	（{seconds} 秒）
Open conversation	打开对话
No notifications	没有通知
Always allow	始终允许
to toggle selection	以切换选择
Don't show me suggested code banners again	不再显示代码建议横幅
Rule	规则
By continuing, you agree to Warp's 	继续即表示你同意 Warp 的
If you'd like to opt out of analytics and AI features,	如果你不希望使用分析和 AI 功能，
you can adjust your 	你可以调整
Don't want to sign in right now? 	暂时不想登录？
Are you sure you want to skip login?	确定要跳过登录吗？
You can sign up later, but some features, such as AI,	你可以稍后注册，但 AI 等部分功能
are only available to logged-in users. 	仅对已登录用户开放。
Sign in on your browser \nto continue	在浏览器中登录\n以继续
If your browser hasn't launched, 	如果浏览器没有启动，
and open the page manually.	并手动打开页面。
Using Warp Offline	离线使用 Warp
 and open	并打开
the page manually.	手动打开页面。
Hunk:	代码块：
Stash changes	暂存更改
TRASH	废纸篓
Trash	废纸篓
Items in the trash will be deleted forever after 30 days.	废纸篓中的项目将在 30 天后永久删除。
Who has access	谁有访问权限
Share session QR code	共享会话二维码
Unable to create QR code for this session link.	无法为此会话链接创建二维码。
Missing source file	缺少源文件
Viewing	查看中
Editing	编辑中
The Agentic Development Environment	智能体开发环境
Same line prompt	同行提示符
Separator	分隔符
Current	当前
Looks like you're out of credits. 	你的点数似乎已用尽。
 for more credits.	以获得更多点数。
No results found.	未找到结果。
Not visible to other users	其他用户不可见
Copyright 2026 Warp	版权所有 2026 Warp
Show model picker in prompt	在提示符中显示模型选择器
Toolbar layout	工具栏布局
You may need to restart Warp for MacOS to apply the preferred icon style.	可能需要重启 Warp，macOS 才会应用首选图标样式。
View all available system fonts	查看所有可用的系统字体
Notebook font size	笔记本字体大小
Cursor type is disabled in Vim mode	Vim 模式下已禁用光标类型
Monthly spend limit	每月支出限额
One-time purchase	一次性购买
Contact your Account Executive for more add-on credits.	请联系客户经理以获取更多附加点数。
Contact a team admin to enable add-on credits.	请联系团队管理员启用附加点数。
Commands that enable the toolbar	启用工具栏的命令
Add regex patterns to show the coding agent toolbar for matching commands.	添加正则表达式模式，为匹配的命令显示编程智能体工具栏。
Initialized / indexed folders	已初始化 / 已索引的文件夹
No folders have been initialized yet.	尚未初始化任何文件夹。
INDEXING	正在索引
LSP SERVERS	LSP 服务器
New window	新窗口
New tab	新标签页
Split pane	拆分窗格
Autohides on loss of keyboard focus	失去键盘焦点时自动隐藏
Allowed Values: 1-20	允许的值：1-20
Warp is the default terminal	Warp 是默认终端
Not supported on Wayland. 	Wayland 不支持此功能。
Changes will apply to new windows.	更改将应用于新窗口。
No enterprise regexes have been configured by your organization.	你的组织尚未配置企业正则表达式。
Choose how secrets are visually presented in the block list while keeping them searchable. This setting only affects what you see in the block list.	选择密钥在块列表中的显示方式，同时保持可搜索。此设置只影响你在块列表中看到的内容。
Crash reports assist with debugging and stability improvements.	崩溃报告有助于调试和提升稳定性。
Deleting...	正在删除...
You don't have any shared blocks yet.	你还没有任何共享块。
Getting blocks...	正在获取块...
Failed to load blocks. Please try again.	无法加载块。请重试。
Unshare block	取消共享块
Monthly limit reached	已达到每月限额
Finish your purchase in the browser	在浏览器中完成购买
Credits will be added to your account after checkout.	结账后点数将添加到你的帐户。
Out of credits	点数已用尽
Show prompt	显示提示符
Redact secrets (API keys, passwords, IP addresses, PII etc.)	隐去密钥（API 密钥、密码、IP 地址、个人身份信息等）
Don't show again.	不再显示。
Would you like to enable available language support for this codebase? This will give you smarter code navigation and inline error checking.	是否为此代码库启用可用的语言支持？这将提供更智能的代码导航和内联错误检查。
Change your current theme.	更改当前主题。
Pick a theme for when your system is in light mode.	选择系统处于浅色模式时使用的主题。
Pick a theme for when your system is in dark mode.	选择系统处于深色模式时使用的主题。
No matching themes!	没有匹配的主题！
Shortcut	快捷键
Skip Welcome Tips	跳过欢迎提示
Complete!	完成！
Nice work on finishing the welcome tips!	太棒了，你已完成欢迎提示！
*Secrets are not sent to Warp's server.	*密钥不会发送到 Warp 的服务器。
No matches found.	未找到匹配项。
Warp is the intelligent terminal with AI and your dev team's knowledge built-in.	Warp 是内置 AI 和开发团队知识的智能终端。
Fill out the arguments in this workflow and copy it to run in your terminal session	填写此工作流中的参数并复制，以在终端会话中运行
Environment variables	环境变量
Ask Warp AI to explain errors, suggest commands or write scripts.	让 Warp AI 解释错误、建议命令或编写脚本。
Plan successfully activated!	方案已成功激活！
Customize your Warp Agent	自定义 Warp 智能体
Get AI access	获取 AI 使用权限
Subscription	订阅
Best value	超值之选
Set up later	稍后设置
Choose your AI setup	选择 AI 设置
Use Warp Agent	使用 Warp 智能体
Access more models	使用更多模型
Use third party agents	使用第三方智能体
Choose a theme	选择主题
If you'd like to opt out of analytics, you can adjust your 	如果你不希望参与分析，可以调整
Customize third party agents	自定义第三方智能体
 and open the page manually. 	并手动打开页面。
 to paste your token from the browser.	以粘贴浏览器中的令牌。
You've run out of {object_type}s on your plan.	你的方案中的{object_type}数量已用尽。
notebook	笔记本
workflow	工作流
folder	文件夹
env-vars	环境变量集合
rule	规则
string_object_placeholder	共享对象
{headline} {detail}	{headline} {detail}
Upgrade for access to more notebooks, workflows, shared sessions, and AI credits.	升级即可使用更多笔记本、工作流、共享会话和 AI 点数。
Shared objects have been restricted due to a subscription payment issue.	由于订阅付款问题，共享对象已受限。
Please update your payment information to restore access.	请更新付款信息以恢复访问权限。
Please contact support@warp.dev to restore access.	请联系 support@warp.dev 以恢复访问权限。
Please contact a team admin to restore access.	请联系团队管理员以恢复访问权限。
Live session started at {time} on {date}	实时会话于 {date} {time} 开始
You must have full access to manage permissions. You have {access_level} access.	你必须拥有完整访问权限才能管理权限。你当前拥有{access_level}权限。
view	查看
edit	编辑
access	访问
Could not read {source}	无法读取 {source}
Loading {source}...	正在加载 {source}...
{editor} is editing	{editor} 正在编辑
Ran {time}	运行于 {time}
Resets {time}	重置时间：{time}
Current backend: {backend}	当前后端：{backend}
Executed on: {time}	执行时间：{time}
Finished in {duration}	完成耗时：{duration}
Last ran {time}	上次运行于 {time}
Press 	按
enter	Enter
Creating cloud run…	正在创建云端运行…
Environment: 	环境：
Model: 	模型：
 to navigate  	 以导航  
 to go to start/end  	 跳至开头/结尾  
 to send a message	 发送消息
 to send a message  	 发送消息  
 to navigate | 	 导航 | 
 to go to start/end | 	 跳至开头/结尾 | 
to toggle  	切换  
to save and close  	保存并关闭  
to reorder	重新排序
context remaining	上下文剩余
Spend: 	支出：
 remaining	 剩余
Credits used: 	已用点数：
to exit	退出
Agent questions	智能体问题
to advance 	继续 
to select 	选择 
to cancel question	取消问题
to navigate 	导航 
Questions unavailable	问题不可用
 to expand/collapse	 展开/折叠
 to edit command	 编辑命令
 to get started	 开始使用
Waiting for login...	正在等待登录...
Visit 	访问
 to get started, then come back here.	 以开始使用，然后返回此处。
 to stop	 停止
Starting cloud run…	正在启动云端运行…
Authenticate with GitHub, then run the orchestration request again.	请先通过 GitHub 身份验证，然后重新运行编排请求。
to authenticate or click the link below	进行身份验证，或点击下方链接
Cloud run in progress	云端运行进行中
Cloud run blocked	云端运行已阻塞
Cloud run succeeded	云端运行成功
Cloud run failed	云端运行失败
Cloud run cancelled	云端运行已取消
to view or click the link below	查看，或点击下方链接
 {instruction}	 {instruction}
Conversation forked to cloud on {completed_at}{continuation}	对话已于 {completed_at} 派生到云端{continuation}
; continuing locally	；同时继续在本地运行
of {total} 	共 {total} 个 
{credits} credits / {cost}	{credits} 点数 / {cost}
 = {credits} credits	 = {credits} 点数
 Ask a question...	 提问...
 If you have any questions about the referral program, please contact referrals@warp.dev.	 如对推荐计划有任何疑问，请联系 referrals@warp.dev。
 Retry	 重试
